ID;Case ID;CHAMBER;YEAR;NAME;Area;Outcome;Econ_Ideology_Median;Econ_Ideology_Rapporteur;Legal_Expertise_Median;Legal_Expertise_Rapporteur;Europhilia_Median;Europhilia_rapporteur;Rapporteur_Name;Ease_Doing_Business;Legal_Practice;Gov_Left_Right;Gov_Europhilia;Legal_Tradition;Country
531;tj-558/08;3;2014;eni spa v european commission;0;commission;6.166666667;5.888888889;4.7;5.8;8.333333333;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
571;tj-551/10;6;2013;Fri-El Acerra Srl v Commission;1;plaintiff;5;5;6.828571429;6.828571429;7.833333333;7.857142857;Soldevila Fragoso (ES);69.22;no;12.391;2.46;civil_law;spain
339;tj-551/08;3;2014;h&r chempharm gmbh v european commission;0;plaintiff;5.888888889;5.888888889;5.8;5.8;8;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
401;tj-55/06, 66/06;4;2011; rkw se and jm gesellschaft für industrielle beteiligungen mbh & co;0;plaintiff;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
349;tj-548/08;4;2013;Total SA;0;plaintiff;5.888888889;5.888888889;5.8;5.8;6.75;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
341;tj-543/08;3;2014; rwe ag and rwe dea ag v european commission;0;commission;5.888888889;5.888888889;5.8;5.8;8;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
521;tj-542/11;4;2014;alouminion ae v european commission;1;commission;5;6.333333333;5.9;4.7;6.75;6.75;Labucka (LV);76.58;no;-1.521333333;2.214333333;socialist;latvia
352;tj-541/08;3;2014; sasol and others v european commission;0;commission;5.888888889;5.888888889;5.8;5.8;8;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
357;tj-540/08;3;2014; esso société anonyme française and others v european commission;0;commission;5.888888889;5.888888889;5.8;5.8;8;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
347;tj-54/14;9;2016;goldfish bv and others v european commission;0;plaintiff;5.888888889;6.101851852;5.8;4.077777778;7.833333333;6.777777778;Kancheva (BG);69.76;no;-0.43;1.182;socialist;bulgaria
424;tj-54/06;4;2011; kendrion nv v european commission;0;plaintiff;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
97;tj-54/03;3;2008; lafarge sa v commission of the european communities;0;plaintiff;4.836412564;4.428571429;6.571428571;6.571428571;7.923769238;7.142857143;Tiili (FI);81.28;no;1.831150943;4.51504717;civil_law;finland
23;tj-54/02;5;2004;Vereins- und Westbank AG v Commission;0;commission;4.155555556;4.909090909;7.666666667;6.072727273;7.466666667;6.727272727;Lindh (SW);82.1;no;23.786;3.398;civil_law;sweden
640;tj-538/11;1;2015;kingdom of belgium v european commission;1;plaintiff;5.222222222;5.222222222;6.69999999;7.933333333;7.545454545;9.666666667;Buttigieg (MT);62.8;no;18.105;2.876;civil_law;malta
350;tj-533/10;3;2014; dts distribuidora de televisión sa v european commission;1;plaintiff;5.888888889;5.888888889;5.8;5.8;8;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
196;tj-53/08;5;2010; italian republic v european commission;1;plaintiff;5.185185185;5.185185185;6.2;6.711111111;8.25;6.888888889;Vilaras (EL);61.46;no;13.795;4.592;civil_law;greece
505;tj-53/07;1;2011; trade-stomil sp;0;commission;5.611111111;5.848484848;5.871794872;5.871794872;7.428571429;6.538461538;Dehousse (BE);70;no;16.97852577;2.363010309;civil_law;belgium
408;tj-53/06;4;2012; upm-kymmene oyj v european commission;0;commission;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
87;tj-53/03;3;2008; bpb plc v commission of the european communities;0;commission;4.836412564;4.428571429;6.571428571;6.571428571;7.923769238;7.142857143;Tiili (FI);81.28;no;1.831150943;4.51504717;civil_law;finland
377;tj-527/13;3;2015;italian republic v european commission;1;commission;5.166666667;3.318390805;6.172527473;7.859770115;6.2;6.2;Forwood (UK);83.76;yes;-8.072;3.012;common_law;UK
603;tj-525/08;6;2013;Poste Italiane SpA;1;commission;4.424242424;5;6.828571429;6.828571429;7.857142857;7.857142857;Soldevila Fragoso (ES);69.22;no;12.391;2.46;civil_law;spain
317;tj-521/09;3;2014;alstom grid sas v european commission;0;plaintiff;5.888888889;5.888888889;5.8;5.8;8;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
326;tj-520/09;3;2012;Télévision française 1 (TF1) et al v Commission;1;plaintiff;5.888888889;5.222222222;5.8;8.066666667;8;8.333333333;Gratsias (EL);61.46;no;20.727;0.696;civil_law;greece
94;tj-52/03;3;2008; knauf gips kg v commission of the european communities;0;plaintiff;4.836412564;4.428571429;6.571428571;6.571428571;7.923769238;7.142857143;Tiili (FI);81.28;no;1.831150943;4.51504717;civil_law;finland
35;tj-52/02;5;2005; société nouvelle des couleurs zinciques sa (sncz) v commission of the european communities;0;plaintiff;4.155555556;3.181818182;7.666666667;8.672727273;7.466666667;7.909090909;Cooke (IE);80.6;yes;2.009623529;2.548588235;common_law;ireland
46;tj-52/00;5;2003; coe clerici logistics spa v commission of the european communities;0;plaintiff;4.155555556;4.909090909;7.666666667;6.072727273;7.466666667;6.727272727;Lindh (SW);82.1;no;23.786;3.398;civil_law;sweden
542;tj-517/12;5;2014;alro sa v european commission;1;plaintiff;5.778787879;5.866666667;7.3;4.68;7.2;7.2;Schwarcz (SK);70.72;no;-1.785411765;2.532882353;socialist;slovakia
345;tj-517/09;3;2014;alstom v european commission;0;commission;5.888888889;5.888888889;5.8;5.8;8;8;Czúcz (HU);67.4;no;12.90320202;0.117777778;socialist;hungary
654;tj-515/13, 719/13;7;2015;kingdom of spain and others v european commission;1;commission;4.259259259;3.472222222;8.133333333;8.613333333;8.166666667;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
105;tj-513/93;5;2000; consiglio nazionale degli spedizionieri doganali v commission of the european communities;0;plaintiff;4.833333333;4.155555556;6.866666667;7.006666667;6.888888889;7.466666667;García-Valdecasas y Fernández (ES);69.22;yes;11.648;5.064;civil_law;spain
629;tj-511/09;8;2015;niki luftfahrt gmbh v european commission;1;plaintiff;5.166666667;5.166666667;6.583333333;6.2;7.75;7.75;Popescu (RO);66.88;no;-3.340980392;1.984509804;socialist;romania
410;tj-51/06;4;2011; fardem packaging bv v european commission;0;plaintiff;5.272727273;3.472222222;5.854545455;8.613333333;6.454545455;8.166666667;Van der Woude (NL);73.8;yes;-10.76785106;2.530276596;civil_law;netherlands
